"","CPU","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Score","Quartile"
"1","Intel Core i9-14900K",2023-12-31,589,2023-12-31,589,61046,"Third Quartile"
"2","Intel Core i9-13900KS",2023-01-13,729.99,2023-05-18,988.99,61899,"Third Quartile"
"3","Intel Core i9-13900K",2022-09-27,589,2023-05-31,1049.99,59349,"Third Quartile"
"4","Intel Core i9-13900KF",2022-09-01,564,2023-05-17,548.99,58678,"Third Quartile"
"5","Intel Core i9-14900",2024-03-31,549,2024-03-31,549,49392,"Third Quartile"
"6","Intel Core i9-14900F",2024-03-31,524,2024-03-31,524,52059,"Third Quartile"
"7","Intel Core i7-14700KF",2023-12-31,384,2023-12-31,384,53451,"Second Quartile"
"8","Intel Core i7-14700K",2023-12-31,409,2023-12-31,409,53642,"Third Quartile"
"9","Intel Core i9-13900F",2023-01-01,524,2023-05-29,569.99,51623,"Third Quartile"
"10","Intel Core i9-14900T",2024-03-31,549,2024-03-31,549,43527,"Third Quartile"
"11","Intel Core i7-13700K",2022-10-20,409,2023-05-14,1114.99,46552,"Third Quartile"
"12","Intel Core i7-13700KF",2022-10-20,384,2023-04-30,390.99,46381,"Third Quartile"
"13","Intel Core i9-12900KS",2022-01-01,739,2023-03-30,652.35,44157,"Third Quartile"
"14","Intel Core i9-13900",2023-01-01,549,2023-05-22,549.99,47920,"Third Quartile"
"15","Intel Core i7-14700F",2024-03-31,359,2024-03-31,359,44921,"Second Quartile"
"16","Intel Core i5-14600KF",2023-12-31,294,2023-12-31,294,39393,"Second Quartile"
"17","AMD Ryzen 9 7950X",2022-09-26,699,2023-06-02,555.99,62943,"Third Quartile"
"18","Intel Core i5-14600K",2023-12-31,319,2023-12-31,319,39255,"Second Quartile"
"19","AMD Ryzen 9 7900X",2022-09-28,549.99,2023-05-04,433.79,51931,"Third Quartile"
"20","Intel Core i5-14600",2024-03-31,255,2024-03-31,255,36251,"Second Quartile"
"21","Intel Core i9-13900T",2023-03-31,549,2023-03-31,549,44297,"Third Quartile"
"22","AMD Ryzen 7 7700X",2022-10-02,399.99,2023-06-01,377.99,36020,"Third Quartile"
"23","Intel Core i7-14700",2024-03-31,384,2024-03-31,384,46566,"Third Quartile"
"24","Intel Core i9-12900K",2021-10-01,589,2023-03-25,355.99,41361,"Third Quartile"
"25","Intel Core i9-12900KF",2021-10-01,564,2023-04-16,567,41158,"Third Quartile"
"26","AMD Ryzen 5 7600X",2022-09-28,299.99,2023-05-10,239.89,28572,"Second Quartile"
"27","AMD Ryzen 9 7900",2023-03-31,419.99,2023-03-31,419.99,48842,"Third Quartile"
"28","Intel Core i5-13600K",2022-09-27,319,2023-05-19,314.99,38139,"Second Quartile"
"29","AMD Ryzen 9 7950X3D",2023-03-03,918.99,2023-06-02,799.99,62536,"Third Quartile"
"30","Intel Core i7-13700",2023-01-01,384,2023-05-10,392.99,37655,"Second Quartile"
"31","Intel Core i5-13600KF",2022-09-01,294,2023-04-30,294.99,37914,"Second Quartile"
"32","Intel Core i7-13700F",2023-01-01,359,2023-05-08,362.99,39246,"Second Quartile"
"33","AMD Ryzen 9 7900X3D",2023-03-03,794.99,2023-05-23,599.99,50408,"Third Quartile"
"34","Intel Core i9-12900F",2022-01-01,464,2023-03-08,540,36971,"Third Quartile"
"35","AMD Ryzen 7 7700",2023-03-31,319.79,2023-03-31,319.79,34598,"Second Quartile"
"36","Intel Core i5-13600",2023-03-31,255,2023-03-31,255,32488,"Second Quartile"
"37","Intel Core i9-12900",2022-01-01,489,2023-03-08,568,34358,"Third Quartile"
"38","Intel Core i7-12700K",2021-12-31,409,2021-12-31,409,34652,"Third Quartile"
"39","Intel Core i7-12700KF",2021-12-31,276,2021-12-31,276,34462,"Second Quartile"
"40","Intel Core i5-14500",2024-03-31,232,2024-03-31,232,32734,"Second Quartile"
"41","Intel Core i5-12600K",2021-10-01,289,2023-05-12,235.99,27748,"Second Quartile"
"42","Intel Core i5-14500T",2024-03-31,232,2024-03-31,232,22398,"Second Quartile"
"43","Intel Core i5-12600KF",2021-10-01,264,2023-04-24,309.77,27434,"Second Quartile"
"44","AMD Ryzen 5 7600",2023-03-31,219.99,2023-03-31,219.99,27247,"First Quartile"
"45","Intel Core i5-13490F",2023-05-02,193.49,2023-06-02,263.66,27539,"First Quartile"
"46","Intel Core i7-12700",2022-01-01,339,2023-05-20,383.99,30834,"Second Quartile"
"47","Intel Core i7-13700T",2023-03-31,384,2023-03-31,384,27450,"Second Quartile"
"48","Intel Core i5-13500",2022-09-30,247.98,2022-09-30,247.98,32004,"Second Quartile"
"49","Intel Core i7-12700F",2022-01-01,314,2023-05-19,293.99,30659,"Second Quartile"
"50","Intel Core i5-13600T",2023-03-31,255,2023-03-31,255,26096,"Second Quartile"
"51","Intel Core i5-12600",2022-01-23,469.12,2023-03-08,260,21278,"Third Quartile"
"52","Intel Core i9-12900T",2022-03-31,489,2022-03-31,489,30113,"Third Quartile"
"53","Intel Core i3-14100F",2024-03-31,109,2024-03-31,109,15320,"First Quartile"
"54","Intel Core i5-14400",2024-03-31,221,2024-03-31,221,26855,"First Quartile"
"55","Intel Core i7-12700E",2022-09-30,344,2022-09-30,344,29384,"Second Quartile"
"56","AMD Ryzen 7 7800X3D",2023-06-30,439,2023-06-30,439,34383,"Third Quartile"
"57","Intel Core i5-14400F",2024-03-31,196,2024-03-31,196,25891,"First Quartile"
"58","Intel Core i5-12490F",2022-07-01,183.41,2023-05-13,181.45,20523,"First Quartile"
"59","Intel Core i5-12500",2022-03-31,202,2022-03-31,202,19930,"Second Quartile"
"60","Intel Core i5-13400",2023-01-01,221,2023-05-22,199.99,24927,"First Quartile"
"61","Intel Core i5-13400F",2023-01-01,196,2023-05-20,208.99,25268,"First Quartile"
"62","Intel Core i5-13500T",2023-03-31,232,2023-03-31,232,23296,"First Quartile"
"63","Intel Core i3-13100",2023-01-01,134,2023-05-29,149.99,14693,"First Quartile"
"64","Intel Core i7-12700T",2022-06-30,339,2022-06-30,339,21589,"Second Quartile"
"65","Intel Core i3-12300",2022-03-31,143,2022-03-31,143,14695,"First Quartile"
"66","Intel Core i3-13100F",2023-03-31,110.99,2023-03-31,110.99,14653,"First Quartile"
"67","Intel Core i9-11900KF @ 3.50GHz",2021-01-01,513,2023-05-31,396.78,25269,"Third Quartile"
"68","Intel Core i5-12400",2022-03-31,192,2022-03-31,192,19425,"Second Quartile"
"69","Intel Core i5-12500T",2022-06-30,202,2022-06-30,202,16575,"Second Quartile"
"70","Intel Core i9-11900K @ 3.50GHz",2021-03-01,599.99,2023-05-01,442.99,25324,"Third Quartile"
"71","Intel Core i5-12400F",2022-01-11,179.99,2023-05-03,184,19535,"First Quartile"
"72","Intel Core i5-13400T",2023-06-30,221,2023-06-30,221,21110,"First Quartile"
"73","AMD Ryzen 9 5900X",2020-11-05,549,2023-03-18,365.98,39193,"Third Quartile"
"74","AMD Ryzen 9 5950X",2020-11-05,799,2022-12-26,534.99,45682,"Third Quartile"
"75","Intel Core i3-12100F",2022-01-08,109.95,2023-05-03,136.99,14153,"First Quartile"
"76","AMD Ryzen 7 5800X",2020-11-06,449.99,2023-03-29,259,27911,"Third Quartile"
"77","Intel Core i9-11900 @ 2.50GHz",2021-01-01,439,2023-05-09,499.97,22966,"Third Quartile"
"78","Intel Core i3-12100",2022-03-31,122,2022-03-31,122,13537,"First Quartile"
"79","Intel Core i9-11900F @ 2.50GHz",2021-01-01,422,2023-04-27,489.99,22580,"Third Quartile"
"80","Intel Core i7-11700K @ 3.60GHz",2021-03-26,418.99,2023-04-05,268.99,24657,"Third Quartile"
"81","Intel Core i3-13100T",2023-06-30,134,2023-06-30,134,13073,"First Quartile"
"82","Intel Core i3-12300T",2022-12-31,157,2022-12-31,157,13251,"First Quartile"
"83","Intel Core i7-11700KF @ 3.60GHz",2021-01-01,374,2023-04-19,349.99,24012,"Third Quartile"
"84","AMD Ryzen 7 5700X",2022-04-17,366,2023-05-21,192.99,26705,"Third Quartile"
"85","Intel Core i5-12400T",2022-09-30,149.99,2022-09-30,149.99,16167,"First Quartile"
"86","AMD Ryzen 5 5600X",2020-11-05,299,2023-03-27,168.07,21911,"Second Quartile"
"87","Intel Core i5-11600K @ 3.90GHz",2021-01-01,262,2023-05-08,248.98,19647,"Second Quartile"
"88","Intel Core i5-11600KF @ 3.90GHz",2021-01-01,237,2023-05-10,229.99,19664,"Second Quartile"
"89","Intel Core i9-11900T @ 1.50GHz",2021-06-30,439,2021-06-30,439,18968,"Third Quartile"
"90","Intel Core i9-11900KB @ 3.30GHz",2021-09-30,539,2021-09-30,539,22901,"Third Quartile"
"91","Intel Core i7-11700F @ 2.50GHz",2021-01-01,298,2023-04-02,249,21059,"Second Quartile"
"92","Intel Core i5-11600 @ 2.80GHz",2021-05-27,289.89,2023-05-22,239.89,18113,"Second Quartile"
"93","AMD Ryzen 7 5700G",2022-02-18,690.38,2023-05-18,186.29,24601,"Third Quartile"
"94","Intel Core i3-12100T",2022-03-31,122,2022-03-31,122,12676,"First Quartile"
"95","AMD Ryzen 5 5600",2022-04-24,410.53,2023-05-07,132.88,21569,"Third Quartile"
"96","Intel 300",2024-03-31,82,2024-03-31,82,7142,"First Quartile"
"97","AMD Ryzen 7 5800X3D",2022-04-29,449,2023-04-20,349,28297,"Third Quartile"
"98","AMD Ryzen 5 5600G",2022-02-11,331,2023-05-05,399.99,19900,"Second Quartile"
"99","Intel Core i5-11500 @ 2.70GHz",2021-01-01,192,2023-04-15,229.28,17393,"Second Quartile"
"100","Intel Core i9-10900K @ 3.70GHz",2020-04-01,488,2023-04-11,334.8,22968,"Third Quartile"
"101","Intel Core i9-10900KF @ 3.70GHz",2020-04-01,463,2023-05-31,316.39,22646,"Third Quartile"
"102","Intel Core i7-11700 @ 2.50GHz",2021-04-03,344.99,2023-04-19,289.99,19802,"Third Quartile"
"103","Intel Core i9-10850K @ 3.60GHz",2020-07-01,453,2023-05-31,272.29,22458,"Third Quartile"
"104","AMD Ryzen 5 5500",2022-04-17,191,2023-04-03,159,19457,"Second Quartile"
"105","Intel Core i7-10700K @ 3.80GHz",2020-04-01,374,2023-01-18,369.95,18847,"Third Quartile"
"106","Intel Core i7-10700KF @ 3.80GHz",2020-04-01,349,2023-04-18,278.99,18652,"Third Quartile"
"107","Intel Core i9-9900KS @ 4.00GHz",2019-10-01,524,2023-02-24,886.8,19525,"Third Quartile"
"108","Intel Core i5-11400 @ 2.60GHz",2021-01-01,182,2023-05-13,139.4,17088,"Second Quartile"
"109","Intel Core i9-10900F @ 2.80GHz",2020-04-01,422,2023-05-31,427.99,20050,"Third Quartile"
"110","Intel Core i9-10900 @ 2.80GHz",2020-04-01,439,2023-04-15,496.53,19892,"Third Quartile"
"111","Intel Pentium Gold G7400",2022-01-01,64,2023-05-06,110.17,6776,"First Quartile"
"112","Intel Core i5-11400F @ 2.60GHz",2021-01-01,157,2023-05-27,122.59,17088,"First Quartile"
"113","Intel Core i9-9990XE @ 4.00GHz",2020-09-30,163,2020-09-30,163,30162,"Second Quartile"
"114","Intel Core i7-11700T @ 1.40GHz",2021-12-31,323,2021-12-31,323,15670,"Third Quartile"
"115","Intel Core i9-9900KF @ 3.60GHz",2019-01-01,499,2023-03-06,360.73,18316,"Third Quartile"
"116","Intel Core i9-9900K @ 3.60GHz",2018-10-22,579.99,2023-03-25,405,18324,"Third Quartile"
"117","Intel Core i5-10600 @ 3.30GHz",2020-04-01,213,2023-03-17,191.08,13679,"Second Quartile"
"118","Intel Core i5-10600K @ 4.10GHz",2020-04-01,262,2023-04-04,210.97,14328,"Second Quartile"
"119","Intel Core i5-10600KF @ 4.10GHz",2020-04-01,237,2023-04-04,231.19,14256,"Second Quartile"
"120","Intel Core i7-10700 @ 2.90GHz",2020-04-01,323,2023-04-19,348,16459,"Second Quartile"
"121","Intel Core i9-10900E @ 2.80GHz",2021-12-31,444,2021-12-31,444,19478,"Third Quartile"
"122","Intel Core i5-11600T @ 1.70GHz",2021-12-31,213,2021-12-31,213,14713,"Second Quartile"
"123","Intel Core i7-9700KF @ 3.60GHz",2019-01-01,385,2022-10-24,294.8,14314,"Third Quartile"
"124","Intel Core i7-10700F @ 2.90GHz",2020-04-01,298,2023-01-14,249.92,16457,"Second Quartile"
"125","Intel Core i7-9700K @ 3.60GHz",2018-10-22,419.99,2022-10-29,315.99,14477,"Third Quartile"
"126","Intel Core i3-10325 @ 3.90GHz",2022-03-31,190.1,2022-03-31,190.1,10268,"First Quartile"
"127","Intel Core i7-8086K @ 4.00GHz",2018-06-11,425,2023-05-12,305,14313,"Third Quartile"
"128","Intel Core i3-10320 @ 3.80GHz",2020-04-01,154,2023-05-02,129.39,10024,"First Quartile"
"129","Intel Core i9-9900 @ 3.10GHz",2019-09-30,499,2019-09-30,499,16562,"Third Quartile"
"130","Intel Core i3-10305 @ 3.80GHz",2021-01-01,143,2023-02-25,224.6,9291,"First Quartile"
"131","AMD Ryzen 7 3800XT",2020-08-16,392.99,2023-03-18,246.95,23625,"Third Quartile"
"132","Intel Core i5-10500 @ 3.10GHz",2020-04-01,192,2023-04-09,181.46,13069,"Second Quartile"
"133","Intel Core i3-9350K @ 4.00GHz",2020-06-30,293.22,2020-06-30,293.22,7700,"Second Quartile"
"134","AMD Ryzen 5 3600XT",2020-07-01,249,2023-04-12,129.97,18664,"Second Quartile"
"135","Intel Core i7-9700F @ 3.00GHz",2019-04-01,335,2023-05-28,187.68,13265,"Third Quartile"
"136","Intel Core i7-7740X @ 4.30GHz",2017-08-04,349.99,2023-01-30,133.9,9878,"Third Quartile"
"137","Intel Core i7-9700 @ 3.00GHz",2019-04-01,335,2023-03-15,268.38,13212,"Third Quartile"
"138","AMD Ryzen 9 3900XT",2020-07-12,498,2023-03-17,424.95,32737,"Third Quartile"
"139","Intel Core i5-9600KF @ 3.70GHz",2019-06-30,159.99,2019-06-30,159.99,10713,"Second Quartile"
"140","AMD Ryzen 7 4700G",2021-10-12,309,2023-06-02,235.12,20143,"Second Quartile"
"141","Intel Core i5-9600K @ 3.70GHz",2018-11-14,400.69,2023-02-03,150.87,10692,"Third Quartile"
"142","Intel Core i5-9600 @ 3.10GHz",2019-04-01,224,2023-04-27,134.69,10401,"Second Quartile"
"143","Intel Core i7-8700K @ 3.70GHz",2018-01-13,389.99,2023-05-20,259,13655,"Third Quartile"
"144","Intel Core i9-10920X @ 3.50GHz",2019-10-01,689,2023-04-05,757.98,26278,"Third Quartile"
"145","Intel Celeron G6900",2022-01-30,74.99,2023-05-23,98.78,4555,"First Quartile"
"146","Intel Core i7-7700K @ 4.20GHz",2017-01-07,349.99,2023-05-28,129.99,9656,"Third Quartile"
"147","AMD Ryzen 7 3800X",2019-07-07,399,2023-04-10,305.99,23174,"Third Quartile"
"148","AMD Ryzen 7 PRO 4750G",2020-07-16,289,2023-04-14,266.27,20476,"Second Quartile"
"149","Intel Core i3-9320 @ 3.70GHz",2019-04-01,162,2022-07-21,215.67,7358,"Second Quartile"
"150","AMD Ryzen 9 3900X",2019-07-07,499,2023-04-15,224.99,32661,"Third Quartile"
"151","AMD Ryzen 9 3950X",2019-11-25,1199,2023-03-05,530.2,38813,"Third Quartile"
"152","Intel Core i3-10300 @ 3.70GHz",2020-04-01,143,2023-04-23,129.95,9304,"First Quartile"
"153","AMD Ryzen 7 PRO 3700",2019-09-30,329.99,2019-09-30,329.99,22930,"Third Quartile"
"154","Intel Core i9-10900X @ 3.70GHz",2019-10-01,590,2023-03-08,696.67,22490,"Third Quartile"
"155","Intel Core i3-10105 @ 3.70GHz",2021-01-01,122,2023-05-18,109.98,8550,"First Quartile"
"156","AMD Ryzen 3 3300X",2021-06-22,351,2023-04-09,149.82,12659,"Third Quartile"
"157","Intel Core i9-10940X @ 3.30GHz",2019-10-01,784,2023-04-06,740.81,27860,"Third Quartile"
"158","Intel Core i3-9350KF @ 4.00GHz",2019-01-01,184,2022-05-11,206.99,7549,"Second Quartile"
"159","AMD Ryzen 7 3700X",2019-07-07,329,2023-03-08,128.99,22578,"Third Quartile"
"160","Intel Core i3-10105F @ 3.70GHz",2021-05-26,154.61,2023-05-07,73.99,9011,"First Quartile"
"161","AMD Ryzen 5 4600G",2022-09-26,154,2023-03-08,154,16043,"First Quartile"
"162","AMD Ryzen 5 PRO 4650G",2022-05-19,219.99,2023-05-02,114.87,16212,"Second Quartile"
"163","AMD Ryzen 5 3600X",2019-07-31,249.99,2023-05-01,135.99,18216,"Second Quartile"
"164","Intel Core i9-10980XE @ 3.00GHz",2019-12-31,121.48,2019-12-31,121.48,32850,"First Quartile"
"165","Intel Pentium Gold G6505 @ 4.20GHz",2021-09-30,75,2021-09-30,75,4371,"First Quartile"
"166","Intel Core i7-8700 @ 3.20GHz",2017-10-09,312,2022-12-28,236.2,12873,"Third Quartile"
"167","Intel Pentium Gold G6605 @ 4.30GHz",2021-01-01,86,2023-01-07,156.18,4509,"First Quartile"
"168","Intel Core i9-9920X @ 3.50GHz",2018-10-01,1199,2023-05-26,860.61,25223,"Third Quartile"
"169","Intel Core i9-9940X @ 3.30GHz",2018-10-01,1387,2023-03-09,894.61,28059,"Third Quartile"
"170","AMD Ryzen 9 3900",2021-01-13,449.99,2023-03-11,504.15,30836,"Third Quartile"
"171","Intel Core i3-10100 @ 3.60GHz",2020-04-01,122,2023-04-28,121.49,8668,"First Quartile"
"172","Intel Core i9-9960X @ 3.10GHz",2019-02-17,1749.99,2023-04-02,1671.3,30618,"Third Quartile"
"173","Intel Core i5-9500F @ 3.00GHz",2019-04-01,202,2023-05-23,134.65,10028,"Second Quartile"
"174","AMD Ryzen 5 4500",2022-09-16,199.97,2023-05-23,75.49,16141,"Second Quartile"
"175","Intel Core i5-8600K @ 3.60GHz",2017-10-09,258,2022-08-04,185,10205,"Third Quartile"
"176","Intel Core i3-10100F @ 3.60GHz",2020-10-01,79,2023-04-02,99.96,8766,"First Quartile"
"177","Intel Core i7-10700T @ 2.00GHz",2020-04-01,323,2022-02-02,519,12836,"Second Quartile"
"178","Intel Core i5-8600 @ 3.10GHz",2018-04-01,213,2023-01-30,153.49,9944,"Second Quartile"
"179","Intel Core i5-9500 @ 3.00GHz",2019-04-01,202,2022-10-22,175.99,9815,"Second Quartile"
"180","Intel Core i3-7350K @ 4.20GHz",2017-03-02,169.99,2022-11-30,113.89,4958,"Second Quartile"
"181","Intel Core i5-10400 @ 2.90GHz",2020-04-01,182,2023-03-25,106.38,12135,"Second Quartile"
"182","Intel Core i7-9800X @ 3.80GHz",2018-12-31,298.67,2018-12-31,298.67,18085,"Third Quartile"
"183","Intel Core i5-10300H @ 2.50GHz",2020-03-31,250,2020-03-31,250,8433,"Second Quartile"
"184","Intel Core i5-11400T @ 1.30GHz",2021-06-30,182,2021-06-30,182,13626,"Second Quartile"
"185","Intel Core i9-7900X @ 3.30GHz",2017-06-28,999.99,2023-02-18,265.93,21175,"Third Quartile"
"186","AMD Ryzen 5 3600",2019-07-07,199,2023-02-28,94.99,17768,"Second Quartile"
"187","Intel Core i9-9900X @ 3.50GHz",2018-10-01,999,2023-01-07,1008,21819,"Third Quartile"
"188","Intel Core i9-9980XE @ 3.00GHz",2018-10-01,1999,2023-01-17,1889.97,32054,"Third Quartile"
"189","Intel Core i3-9300 @ 3.70GHz",2019-04-01,152,2023-03-02,177.52,7137,"First Quartile"
"190","Intel Core i7-9700E @ 2.60GHz",2020-12-31,323,2020-12-31,323,12669,"Second Quartile"
"191","AMD Ryzen 3 4300G",2020-09-30,124,2020-09-30,124,10949,"First Quartile"
"192","Intel Pentium Gold G7400T",2022-06-30,64,2022-06-30,64,5688,"First Quartile"
"193","Intel Core i5-11500T @ 1.50GHz",2021-09-30,192,2021-09-30,192,13079,"Second Quartile"
"194","Intel Core i5-10400F @ 2.90GHz",2020-04-01,155,2023-03-25,67.89,12205,"First Quartile"
"195","Intel Core i5-7600K @ 3.80GHz",2017-02-03,239.99,2023-03-12,73.61,6798,"Third Quartile"
"196","Intel Core i5-7640X @ 4.00GHz",2017-08-17,239.99,2023-04-07,128.63,6844,"Third Quartile"
"197","AMD Ryzen 3 4100",2022-04-30,169.99,2023-04-27,153.99,11077,"First Quartile"
"198","Intel Pentium Gold G6405 @ 4.10GHz",2021-01-01,64,2023-03-31,88.9,4252,"First Quartile"
"199","Intel Core i7-7820X @ 3.60GHz",2017-08-10,599.99,2023-02-12,516.58,17203,"Third Quartile"
"200","Intel Pentium Gold G6600 @ 4.20GHz",2020-04-01,86,2023-04-16,172.4,4273,"First Quartile"
"201","Intel Core i9-7920X @ 2.90GHz",2017-09-10,1199.99,2023-03-26,165.59,23616,"Third Quartile"
"202","AMD Ryzen 5 3500X",2021-05-26,254.99,2023-04-21,69.99,13179,"Second Quartile"
"203","Intel Core i7-6700K @ 4.00GHz",2015-10-04,359.99,2023-03-08,130.2,8933,"Third Quartile"
"204","Intel Core i3-7320 @ 4.10GHz",2017-03-11,159.99,2023-03-18,125.58,4844,"Second Quartile"
"205","Intel Core i9-7960X @ 2.80GHz",2017-10-06,1784.99,2023-02-24,257.98,28754,"Third Quartile"
"206","AMD Ryzen 5 3500",2019-12-31,199.99,2019-12-31,199.99,12793,"Second Quartile"
"207","Intel Core i3-9100F @ 3.60GHz",2019-04-01,122,2023-03-25,6.6,6742,"First Quartile"
"208","Intel Core i9-7940X @ 3.10GHz",2017-10-02,1399,2023-04-25,546.25,25966,"Third Quartile"
"209","Intel Core i3-9100 @ 3.60GHz",2019-04-01,122,2023-02-23,162.72,6608,"First Quartile"
"210","Intel Core i9-7980XE @ 2.60GHz",2017-09-28,1999,2023-01-02,596.93,30208,"Third Quartile"
"211","Intel Pentium Gold G6500 @ 4.10GHz",2020-04-01,75,2023-05-03,88.99,4145,"First Quartile"
"212","Intel Core i3-8350K @ 4.00GHz",2017-11-11,229.99,2023-05-03,133.6,6863,"Second Quartile"
"213","Intel Core i5-7600 @ 3.50GHz",2017-01-09,229.99,2022-12-17,125.3,6559,"Second Quartile"
"214","Intel Pentium Gold G6400 @ 4.00GHz",2020-04-01,64,2023-04-02,51.99,4123,"First Quartile"
"215","Intel Core i7-4790K @ 4.00GHz",2014-07-09,339.99,2022-11-18,86.97,8068,"Third Quartile"
"216","Intel Core i5-8500 @ 3.00GHz",2018-04-12,204.99,2023-01-19,168.99,9572,"Second Quartile"
"217","Intel Core i9-9900T @ 2.10GHz",2019-12-31,439,2019-12-31,439,13224,"Third Quartile"
"218","Intel Core i7-7700 @ 3.60GHz",2017-01-09,314.99,2023-01-11,195.99,8657,"Third Quartile"
"219","Intel Core i3-10305T @ 3.00GHz",2021-06-30,143,2021-06-30,143,8136,"First Quartile"
"220","Intel Core i9-10900T @ 1.90GHz",2020-06-30,349.99,2020-06-30,349.99,15023,"Third Quartile"
"221","Intel Core i9-9820X @ 3.30GHz",2018-10-01,899,2023-06-01,597.31,20045,"Third Quartile"
"222","Intel Core i5-9400 @ 2.90GHz",2019-01-01,182,2023-05-11,181.45,9376,"Second Quartile"
